id,artist_name,event_type,event_name,date,venue,city,country,img_1,img_2,img_3,link,description
1082,Lendakaris Muertos,concert,,21/05/2021,Auditorio Pilar Bardem,Rivas Vaciamadrid,Spain,lendakarismuertos_2021.jpg,,,,
1083,Foo Fighters,festival,Mad Cool 2017,06/07/2017,La Caja Mágica,Madrid,Spain,madcool_cartel_2017.jpg,,,,
1084,Green Day,festival,Mad Cool 2017,07/07/2017,La Caja Mágica,Madrid,Spain,madcool_cartel_2017.jpg,,,,
1085,Rancid,festival,Mad Cool 2017,07/07/2017,La Caja Mágica,Madrid,Spain,madcool_cartel_2017.jpg,,,,
1086,Pearl Jam,festival,Mad Cool 2018,12/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1087,Tame Impala,festival,Mad Cool 2018,12/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1088,Kasabian,festival,Mad Cool 2018,12/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1089,MGMT,festival,Mad Cool 2018,12/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1090,Arctic Monkeys,festival,Mad Cool 2018,13/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1091,Franz Ferdinand,festival,Mad Cool 2018,13/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1092,Snow Patrol,festival,Mad Cool 2018,13/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1093,Alice in Chains,festival,Mad Cool 2018,13/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1094,Ofenbach,festival,Mad Cool 2018,13/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1095,Depeche Mode,festival,Mad Cool 2018,14/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1096,Queens of the Stone Age,festival,Mad Cool 2018,14/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1097,Nine Inch Nails,festival,Mad Cool 2018,14/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1098,Dua Lipa,festival,Mad Cool 2018,14/07/2018,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2018.jpg,,,,
1099,Huecco,concert,Fiestas de La Elipa 2009,19/09/2009,,Madrid,Spain,,,,https://www.elmundo.es/metropoli/2009/09/11/musica/1252665963.html,
1100,Skunk DF,concert,,08/05/2011,Ritmo y Compás,Madrid,Spain,,,,https://www.themetalcircus.com/noticias/skunk-df-presentacion-y-forma-de-su-proximo-dvd/,
1101,Rafa Pons,concert,,17/10/2009,Galileo Galilei,Madrid,Spain,,,,,
1102,Huecco,concert,Fiestas de Canillejas,,,Madrid,Spain,,,,,
1103,Banda Bassotti,concert,Fiestas de Moratalaz,15/06/2019,,Madrid,Spain,,,,https://diario.madrid.es/moratalaz/2019/06/07/las-fiestas-de-moratalaz-2019-abiertas-para-todos-los-publicos/,
1104,Siniestro Total,concert,,04/10/2013,Sala Penélope,Madrid,Spain,,,,,
1105,Ezetaerre,concert,,15/11/2019,Sala Caracol,Madrid,Spain,,,,https://www.insonoro.com/cronica/4373/auxili---ezetaerre,
1106,Talco,concert,,10/03/2023,Sala But Barceló,Madrid,Spain,,,,,
1107,La Pegatina,concert,,22/12/2018,Wizink Center (Palacio de los Deportes),Madrid,Spain,,,,https://www.mondosonoro.com/criticas/conciertos-musica/la-pegatina-wizink/,
1108,Goran Bregovic and Wedding & Funeral Orchestra,festival,Cultura Inquieta 2014,10/07/2014,,Getafe,Spain,culturainquieta_2014.jpg,,,https://getafe.es/goran-bregovic-and-wedding-funeral-orchestra-cultura-inquieta-2014/,
1109,La Pegatina,concert,Fiestas Fuenlabrada 2016,17/09/2016,Campo de fútbol Aldehuela,Fuenlabrada,Spain,,,,https://www.actualidad21.net/programacion-completa-de-las-fiestas-de-fuenlabrada-2016/,
1110,Rozalén,concert,Fiestas Fuenlabrada 2016,17/09/2016,Campo de fútbol Aldehuela,Fuenlabrada,Spain,,,,https://www.actualidad21.net/programacion-completa-de-las-fiestas-de-fuenlabrada-2016/,
1111,Metallica,festival,Mad Cool 2022,06/07/2022,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2022.jpg,,,,
1112,Twenty One Pilots,festival,Mad Cool 2022,06/07/2022,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2022.jpg,,,,
1113,Placebo,festival,Mad Cool 2022,06/07/2022,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2022.jpg,,,,
1114,Imagine Dragons,festival,Mad Cool 2022,07/07/2022,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2022.jpg,,,,
1115,The Killers,festival,Mad Cool 2022,07/07/2022,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2022.jpg,,,,
1116,Deftones,festival,Mad Cool 2022,07/07/2022,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2022.jpg,,,,
1117,Muse,festival,Mad Cool 2022,08/07/2022,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2022.jpg,,,,
1118,Incubus,festival,Mad Cool 2022,08/07/2022,Valdebebas IFEMA,Madrid,Spain,madcool_cartel_2022.jpg,,,,
1119,Marea,concert,Fiestas Getafe 2004,29/05/2004,Campo de fútbol Magallanes,Getafe,Spain,marea_getafe_2004.jpg,,,,
1120,Zoo,concert,Fiestas PCE,24/09/2021,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,pce_cartel_2021.png,,,,
1121,Los Chikos del Maíz,concert,Fiestas PCE,25/09/2021,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,pce_cartel_2021.png,,,,
1122,King África,festival,Pirata Beach Festival 2024,11/07/2024,,Gandía,Spain,piratabeach_cartel_2024.jpg,,,,
1123,Zoo,festival,Pirata Beach Festival 2024,13/07/2024,,Gandía,Spain,piratabeach_cartel_2024.jpg,,,,
1124,El Drogas,festival,Pirata Beach Festival 2024,13/07/2024,,Gandía,Spain,piratabeach_cartel_2024.jpg,,,,
1125,Los Chikos del Maíz,festival,Pirata Madrid 2023,06/10/2023,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,piratamadrid_cartel_2023.jpeg,,,,
1126,Zoo,festival,Pirata Madrid 2023,06/10/2023,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,piratamadrid_cartel_2023.jpeg,,,,
1127,El Último ke Zierre,festival,Pirata Madrid 2023,07/10/2023,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,piratamadrid_cartel_2023.jpeg,,,,
1128,Ska-P,festival,Pirata Madrid 2023,07/10/2023,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,piratamadrid_cartel_2023.jpeg,,,,
1129,Porretas,concert,,01/03/2003,Aqualung,Madrid,Spain,porretas_2003.jpg,,,,
1130,Porretas,concert,,23/03/2002,Aqualung,Madrid,Spain,porretas_boikot_2002.jpg,,,,
1131,Boikot,concert,,23/03/2002,Aqualung,Madrid,Spain,porretas_boikot_2002.jpg,,,,
1132,Boikot,festival,Rabolagartija 2022,11/08/2022,Polideportivo Municipal Villena,Villena,Spain,rabolagartija_cartel_2022.jpg,rabolagartija_entrada_2022.jpg,,,
1133,Los Chikos del Maíz,festival,Rabolagartija 2022,11/08/2022,Polideportivo Municipal Villena,Villena,Spain,rabolagartija_cartel_2022.jpg,rabolagartija_entrada_2022.jpg,,,
1134,Ska-P,festival,Rabolagartija 2022,11/08/2022,Polideportivo Municipal Villena,Villena,Spain,rabolagartija_cartel_2022.jpg,rabolagartija_entrada_2022.jpg,,,
1135,Dubioza Kolektiv,festival,Rabolagartija 2022,13/08/2022,Polideportivo Municipal Villena,Villena,Spain,rabolagartija_cartel_2022.jpg,rabolagartija_entrada_2022.jpg,,,
1136,Zoo,festival,Rabolagartija 2022,13/08/2022,Polideportivo Municipal Villena,Villena,Spain,rabolagartija_cartel_2022.jpg,rabolagartija_entrada_2022.jpg,,,
1137,Califato 3/4,festival,Rabolagartija 2022,13/08/2022,Polideportivo Municipal Villena,Villena,Spain,rabolagartija_cartel_2022.jpg,rabolagartija_entrada_2022.jpg,,,
1138,Rammstein,concert,Tour 2009,10/11/2009,Palacio de los Deportes,Madrid,Spain,rammstein_2009.jpg,,,https://www.rammstein.de/es/history/europatour2009-teil1/,
1139,Rammstein,concert,Europa Tour 2013,21/04/2013,Palacio de los Deportes,Madrid,Spain,rammstein_2013.jpg,,,https://www.rammstein.de/es/history/europatour2013/,
1140,Rammstein,concert,Europa Stadion Tour 2019,22/06/2019,Olympiastadion,Berlin,Germany,rammstein_2019.jpeg,,,https://www.rammstein.de/es/history/europastadiontour2019/,
